"ID","Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Total Cal","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"42587184","2019-12-10 18:37:00","v1000m/1:00r...10 row","""12:32.6""","752.6","10:00.0","600","3200","584","27","","1:57.5","215","1040","219","","116","26","Lwt","Indoor Rower","No",""
"42587183","2019-12-09 08:43:00","5000m row","""23:45.7""","1425.7","","","5000","","23","","2:22.5","121","715","296","","111","26","Lwt","Indoor Rower","No",""
"42587182","2019-12-07 14:24:00","5000m row","""23:24.7""","1404.7","","","5000","","22","","2:20.4","126","734","308","","115","26","Lwt","Indoor Rower","No",""
"42587179","2019-11-29 09:07:00","10000m row","""46:04.8""","2764.8","","","10000","","23","","2:18.2","132","755","595","","113","26","Lwt","Indoor Rower","No",""
"42587178","2019-11-27 09:15:00","5000m row","""23:20.3""","1400.3","","","5000","","23","","2:20.0","127","738","307","","111","26","Lwt","Indoor Rower","No",""
"42587177","2019-11-26 09:09:00","10000m row","""48:22.5""","2902.5","","","10000","","23","","2:25.1","115","694","580","","113","26","Lwt","Indoor Rower","No",""
"40516004","2019-11-15 20:10:00","5000m row","""23:48.2""","1428.2","","","5000","","23","","2:22.8","120","713","296","","112","26","Lwt","Indoor Rower","No",""
"40516003","2019-11-13 08:38:00","22:45 row","""22:45.2""","1365.2","","","5009","","24","","2:16.2","138","775","305","","113","26","Lwt","Indoor Rower","No",""
"40516002","2019-11-09 19:32:00","10000m row","""45:53.0""","2753","","","10000","","25","","2:17.6","134","761","595","","113","26","Lwt","Indoor Rower","No",""
"40516001","2019-11-08 08:40:00","10000m row","""44:48.2""","2688.2","","","10000","","24","","2:14.4","144","796","604","","113","26","Lwt","Indoor Rower","No",""
"40516000","2019-11-06 08:40:00","5000m row","""21:29.2""","1289.2","","","5000","","25","","2:08.9","163","862","306","","114","26","Lwt","Indoor Rower","No",""
